logo_path,team,league
http://content.sportslogos.net/logos/53/68/full/1256.png,NYY,AL
http://content.sportslogos.net/logos/53/52/full/lty880yrmrra64y6tqfqmdnbf.png,BAL,AL
http://content.sportslogos.net/logos/53/53/full/c0whfsa9j0vbs079opk2s05lx.png,BOS,AL
http://content.sportslogos.net/logos/53/55/full/oxvkprv7v4inf5dgqdebp0yse.png,CWS,AL
http://content.sportslogos.net/logos/53/57/full/5347_cleveland_indians-primary-2014.png,CLE,AL
http://content.sportslogos.net/logos/53/59/full/8964_detroit_tigers-primary-2016.png,DET,AL
http://content.sportslogos.net/logos/53/4929/full/9503_houston_astros-primary-2000.png,HOU,AL
http://content.sportslogos.net/logos/53/62/full/fmrl2b6xf5hruiike42gn62yu.png,KC,AL
http://content.sportslogos.net/logos/53/6521/full/4389_los_angeles_angels-primary-2016.png,LAA,AL
http://content.sportslogos.net/logos/53/65/full/peii986yf4l42v3aa3hy0ovlf.png,MIN,AL
http://content.sportslogos.net/logos/53/69/full/6xk2lpc36146pbg2kydf13e50.png,OAK,AL
http://content.sportslogos.net/logos/53/75/full/1305.png,SEA,AL
http://content.sportslogos.net/logos/53/2535/full/qiru2jftx1a378eq8ad0s4ik4.gif,TB,AL
http://content.sportslogos.net/logos/53/77/full/ajfeh4oqeealq37er15r3673h.png,TEX,AL
http://content.sportslogos.net/logos/53/78/full/2559d7603ouedg7ldhw0br4fn.png,TOR,AL
http://content.sportslogos.net/logos/54/50/full/gnnnrbxcmjhdgeu6mavqk3945.png,ARI,NL
http://content.sportslogos.net/logos/54/51/full/7150_atlanta_braves-primary-2018.png,ATL,NL
http://content.sportslogos.net/logos/54/54/full/q9gvs07u72gc9xr3395u6jh68.png,CHC,NL
http://content.sportslogos.net/logos/54/56/full/z9e0rqit393ojiizsemd0t1hx.png,CIN,NL
http://content.sportslogos.net/logos/54/58/full/6871_colorado_rockies-primary-2017.png,COL,NL
http://content.sportslogos.net/logos/54/63/full/efvfv5b5g1zgpsf56gb04lthx.png,LAD,NL
http://content.sportslogos.net/logos/54/3637/full/1720_miami_marlins-primary-2017.png,MIA,NL
http://content.sportslogos.net/logos/54/64/full/7997_milwaukee_brewers-primary-2018.png,MIL,NL
http://content.sportslogos.net/logos/54/67/full/m01gfgeorgvbfw15fy04alujm.png,NYM,NL
http://content.sportslogos.net/logos/54/70/full/o4lmh7dq5e3uordl7hvk6i3ug.png,PHI,NL
http://content.sportslogos.net/logos/54/71/full/1250_pittsburgh_pirates-primary-2014.png,PIT,NL
http://content.sportslogos.net/logos/54/73/full/4344_san_diego_padres-primary-2015.png,SD,NL
http://content.sportslogos.net/logos/54/74/full/cpqj6up5bvgpoedg5fwsk20ve.png,SF,NL
http://content.sportslogos.net/logos/54/72/full/3zhma0aeq17tktge1huh7yok5.png,STL,NL
http://content.sportslogos.net/logos/54/578/full/rcehah9k0kekjkgzm077fflws.png,WAS,NL
